2025-11-24 14:48:32.758 [tick=4223937] [pid=17376] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:32.759 [tick=4223937] [pid=17376] [INFO] [WorkerHost] pid=17376 | start
2025-11-24 14:48:33.013 [tick=4224203] [pid=17376] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=17376 | fire start
2025-11-24 14:48:33.043 [tick=4224234] [pid=17376] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=17376 | fire sent
2025-11-24 14:48:33.289 [tick=4224468] [pid=17784] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:33.290 [tick=4224468] [pid=17784] [INFO] [WorkerHost] pid=17784 | start
2025-11-24 14:48:33.307 [tick=4224484] [pid=2940] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:33.307 [tick=4224484] [pid=2940] [INFO] [WorkerHost] pid=2940 | start
2025-11-24 14:48:33.542 [tick=4224734] [pid=17784] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=17784 | fire start
2025-11-24 14:48:33.563 [tick=4224750] [pid=2940] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=2940 | fire start
2025-11-24 14:48:33.563 [tick=4224750] [pid=17784] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=17784 | fire sent
2025-11-24 14:48:33.575 [tick=4224765] [pid=2940] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=2940 | fire sent
2025-11-24 14:48:33.954 [tick=4225140] [pid=4252] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:33.954 [tick=4225140] [pid=4252] [INFO] [WorkerHost] pid=4252 | start
2025-11-24 14:48:34.227 [tick=4225406] [pid=4252] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4252 | fire start
2025-11-24 14:48:34.231 [tick=4225421] [pid=4252] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4252 | fire sent
